A  	Element	Z  	N  	Energy  	JPi           	Mass Exc            	Unc       	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
40 	S      	16 	24 	0.0000  	0+            	-22.838             	4         	8.8 S 22                 	8.8                      	          	        	B-      	100.00      
41 	S      	16 	25 	0.0000  	(7/2-)        	-19.009             	4         	2600 MS 14               	2.6                      	          	        	B-      	100.00      
41 	S      	16 	25 	0.0000  	(7/2-)        	-19.009             	4         	2600 MS 14               	2.6                      	          	        	BN      	?           
42 	S      	16 	26 	0.0000  	0+            	-17.638             	3         	1030 MS 30               	1.03                     	          	        	B-      	100.00      
42 	S      	16 	26 	0.0000  	0+            	-17.638             	3         	1030 MS 30               	1.03                     	          	        	BN      	< 1.00      
43 	S      	16 	27 	0.0000  	              	-12.195             	5         	273 MS 27                	0.273                    	          	        	B-      	100.00      
43 	S      	16 	27 	0.0000  	              	-12.195             	5         	273 MS 27                	0.273                    	          	        	BN      	40.00       
44 	S      	16 	28 	0.0000  	0+            	-9.204              	5         	100 MS 1                 	0.1                      	          	        	B-      	100.00      
44 	S      	16 	28 	0.0000  	0+            	-9.204              	5         	100 MS 1                 	0.1                      	          	        	BN      	18.00       
45 	S      	16 	29 	0.0000  	              	-4.0                	10        	68 MS 2                  	0.068                    	          	        	B-      	100.00      
45 	S      	16 	29 	0.0000  	              	-4.0                	10        	68 MS 2                  	0.068                    	          	        	BN      	54.00       
45 	S      	16 	29 	0.0000  	              	-4.0                	10        	68 MS 2                  	0.068                    	          	        	B2N     	?           
46 	S      	16 	30 	0.0000  	0+            	0                   	AP        	50 MS 8                  	0.05                     	          	        	B-      	100.00      
46 	S      	16 	30 	0.0000  	0+            	0                   	AP        	50 MS 8                  	0.05                     	          	        	BN      	?           
46 	S      	16 	30 	0.0000  	0+            	0                   	AP        	50 MS 8                  	0.05                     	          	        	B2N     	?           
46 	S      	16 	30 	0.0000  	0+            	0                   	AP        	50 MS 8                  	0.05                     	          	        	B3N     	?           
47 	S      	16 	31 	0.0000  	              	7.4                 	5         	                         	                         	          	        	B-      	100.00      
47 	S      	16 	31 	0.0000  	              	7.4                 	5         	                         	                         	          	        	BN      	?           
47 	S      	16 	31 	0.0000  	              	7.4                 	5         	                         	                         	          	        	B2N     	?           
47 	S      	16 	31 	0.0000  	              	7.4                 	5         	                         	                         	          	        	B3N     	?           
48 	S      	16 	32 	0.0000  	0+            	12.8                	6         	200 NS GE                	2.0000000000000002E-7    	          	        	BN      	?           
48 	S      	16 	32 	0.0000  	0+            	12.8                	6         	200 NS GE                	2.0000000000000002E-7    	          	        	B2N     	?           
48 	S      	16 	32 	0.0000  	0+            	12.8                	6         	200 NS GE                	2.0000000000000002E-7    	          	        	B3N     	?           
48 	S      	16 	32 	0.0000  	0+            	12.8                	6         	200 NS GE                	2.0000000000000002E-7    	          	        	B-      	100.00      
49 	S      	16 	33 	0.0000  	              	21.1                	7         	200 NS LT                	2.0000000000000002E-7    	          	        	N       	            
28 	Cl     	17 	11 	0.0000  	(1+)          	27.5                	6         	                         	                         	          	        	P       	?           
29 	Cl     	17 	12 	0.0000  	(3/2+)        	13.16               	19        	20 NS LT                 	2E-8                     	          	        	P       	            
30 	Cl     	17 	13 	0.0000  	(3+)          	4.44                	20        	30 NS LT                 	3.0000000000000004E-8    	          	        	P       	            
31 	Cl     	17 	14 	0.0000  	              	-7.035              	3         	190 MS 1                 	0.19                     	          	        	EC      	100.00      
